Manufacturer,Adtech,,
Model,4x8,,
Type,SubduralGrid,,
Subtype,MacroContact,,
Name,4x8 Macro,,
ElectrodeDiameter,2.3,,
ElectrodeDiameterUnits,mm,,
ElectrodeSpacingRows,10,,
ElectrodeSpacingRowsUnits,mm,,
ElectrodeSpacingColumns,10,,
ElectrodeSpacingColumnsUnits,mm,,
,,,
GridElectrode,GridRow,GridColumn,GridBank
1,0,0,0
2,0,1,0
3,0,2,0
4,0,3,0
5,0,4,0
6,0,5,0
7,0,6,0
8,0,7,0
9,1,0,0
10,1,1,0
11,1,2,0
12,1,3,0
13,1,4,0
14,1,5,0
15,1,6,0
16,1,7,0
17,2,0,1
18,2,1,1
19,2,2,1
20,2,3,1
21,2,4,1
22,2,5,1
23,2,6,1
24,2,7,1
25,3,0,1
26,3,1,1
27,3,2,1
28,3,3,1
29,3,4,1
30,3,5,1
31,3,6,1
32,3,7,1
